[34, 56]
[56, 84]
[12, 23]
[23, 54]
[54, 34]
[186, 215]
[2, 12]
[215, 175]
[175, 179]
[179, 246]
[6, 1]
[1, 2]
[246, 250]
[37, 33]
[33, 26]
[26, 9]
[9, 6]
[250, 235]
[235, 233]
[233, 232]
[232, 230]
[77, 60]
[60, 55]
[55, 46]
[46, 37]
[230, 234]
[234, 238]
[238, 243]
[243, 237]
[237, 242]
[242, 225]
[225, 216]
[216, 217]
[217, 208]
[208, 200]
[200, 182]
[182, 203]
[203, 182]
[82, 77]
[57, 63]
[63, 65]
[65, 100]
[100, 99]
[99, 82]
[82, 77]
[68, 73]
[73, 82]
[82, 77]
[182, 170]
[170, 169]
[169, 146]
[146, 134]
[134, 98]
[98, 81]
[81, 78]
[78, 82]
[174, 152]
[152, 177]
[177, 170]
