[2633, 2616]
[14198, 14193]
[14193, 14196]
[14269, 14272]
[14254, 14258]
[1011, 1032]
[1073, 1068]
[1068, 1050]
[1050, 1030]
[1030, 1010]
[1010, 992]
[1032, 1011]
[1011, 992]
[1091, 1073]
[992, 975]
[975, 960]
[960, 947]
[947, 948]
[1458, 1465]
[1454, 1458]
[1138, 1122]
[1122, 1104]
[1104, 1091]
[8856, 8692]
[8692, 8314]
[8314, 8485]
[8485, 8868]
[8867, 8868]
[1477, 1487]
[8868, 8485]
[8485, 8865]
[8865, 9016]
[9016, 9017]
[9017, 8865]
[8865, 8485]
[8485, 8314]
[8314, 8696]
[1466, 1477]
[1508, 1504]
[1504, 1503]
[8696, 8314]
[8314, 8214]
[8214, 8481]
[8210, 8047]
[8047, 8097]
[8097, 8214]
[8214, 8481]
[1438, 1441]
[9630, 9303]
[9303, 9083]
[9083, 8880]
[8880, 8708]
[8708, 8495]
[8495, 8333]
[8333, 8318]
[8318, 8217]
[8217, 8099]
[8099, 8046]
[8046, 8047]
[8047, 8210]
[8721, 8507]
[8507, 8342]
[8342, 8222]
[8222, 8103]
[8103, 8030]
[8030, 7954]
[7954, 7976]
[7976, 8047]
[8047, 8210]
[948, 945]
[945, 955]
[955, 971]
[971, 973]
[973, 989]
[989, 1008]
[1008, 1028]
[1028, 1047]
[988, 989]
[989, 1008]
[1008, 1028]
[1028, 1047]
[7933, 7961]
[7961, 8030]
[8030, 8103]
[8103, 8222]
[8222, 8342]
[8342, 8507]
[8507, 8721]
[8723, 8507]
[8507, 8721]
[1429, 1434]
[1434, 1438]
[1448, 1452]
[1452, 1456]
[1427, 1429]
[8902, 8730]
[8730, 8507]
[8507, 8723]
[8893, 8717]
[8717, 8891]
[8891, 8717]
[8717, 8507]
[8507, 8730]
[8730, 8902]
[9397, 9105]
[9105, 8899]
[8899, 8717]
[8717, 8893]
[1444, 1448]
[1440, 1444]
[1435, 1440]
[1025, 1006]
[1006, 988]
[1133, 1138]
[1117, 1133]
[1044, 1025]
[1099, 1117]
[1064, 1044]
[1100, 1099]
[14341, 14318]
[26247, 26277]
[23391, 23421]
[26838, 26839]
[23982, 23983]
[26832, 26834]
[23976, 23978]
[26796, 26794]
[26794, 26815]
[26987, 26953]
[23940, 23938]
[23959, 23938]
[24131, 24097]
[26771, 26779]
[23915, 23923]
[24029, 24025]
[26881, 26885]
[26531, 26529]
[26529, 26557]
[23675, 23673]
[23673, 23701]
[26555, 26557]
[26557, 26594]
[26594, 26605]
[23699, 23671]
[23671, 23647]
[23647, 23669]
[23669, 23721]
[23749, 23738]
[23738, 23701]
[23701, 23699]
[23220, 23219]
[26547, 26499]
[26499, 26455]
[26455, 26427]
[23691, 23643]
[23643, 23599]
[23599, 23571]
[22017, 21949]
[22015, 21949]
[21995, 21931]
[21931, 21915]
[21915, 21913]
[21913, 21911]
[21911, 21927]
[21927, 21983]
[21977, 21995]
[22171, 22147]
[23150, 23149]
[23149, 23151]
[30, 28]
[28, 25]
[25, 26]
[24, 26]
[26, 25]
[25, 28]
[28, 30]
[30, 32]
[32, 34]
[34, 35]
[35, 37]
[37, 39]
[39, 41]
[41, 43]
[43, 45]
[45, 47]
[45, 47]
[25471, 25503]
[25503, 25547]
[25547, 25595]
[24519, 24551]
[24551, 24595]
[24595, 24643]
[1563, 1561]
[1561, 1559]
[25653, 25641]
[25641, 25605]
[25605, 25603]
[24673, 24621]
[24621, 24599]
[24599, 24623]
[24623, 24651]
[24701, 24689]
[24689, 24653]
[24653, 24651]
[25580, 25578]
[25578, 25605]
[24628, 24626]
[24626, 24653]
[25934, 25930]
[24982, 24978]
[25827, 25819]
[24875, 24867]
[25863, 25841]
[26035, 26001]
[26008, 26035]
[24889, 24911]
[25083, 25049]
[25056, 25083]
[25878, 25879]
[25886, 25888]
[25888, 25883]
[25883, 25881]
[25881, 25878]
[24929, 24931]
[24926, 24929]
[24927, 24926]
[24931, 24936]
[24936, 24934]
[25295, 25325]
[24343, 24373]
[1912, 1860]
[1860, 1844]
[1844, 1858]
[1858, 1856]
[4918, 4895]
[4895, 4872]
[4872, 4843]
[4843, 4802]
[27943, 27973]
[28534, 28535]
[15823, 15853]
[28530, 28528]
[28490, 28492]
[28511, 28490]
[28683, 28649]
[16414, 16415]
[16410, 16408]
[16370, 16372]
[16391, 16370]
[16563, 16529]
[16536, 16534]
[28467, 28475]
[16355, 16347]
[28581, 28577]
[16461, 16457]
[14600, 14597]
[14597, 14605]
[16107, 16105]
[16105, 16133]
[28227, 28225]
[28225, 28253]
[14526, 14537]
[16181, 16170]
[16170, 16133]
[16133, 16131]
[28273, 28221]
[28221, 28199]
[28199, 28223]
[28223, 28251]
[28301, 28290]
[28290, 28253]
[28253, 28251]
[16003, 16031]
[16031, 16075]
[16075, 16123]
[28123, 28151]
[28151, 28195]
[28195, 28243]
[13027, 12977]
[12977, 13029]
[13029, 13191]
[14598, 14600]
[13191, 13192]
[13192, 13272]
[13272, 13481]
[6600, 6436]
[6436, 6058]
