[455, 1449]
[453, 1993]
[1993, 1449]
[1991, 455]
[1436, 453]
[1438, 451]
[451, 1436]
[1142, 1815]
[1815, 345]
[345, 1817]
[1817, 417]
[417, 1367]
[1367, 413]
[413, 1366]
[1366, 425]
[425, 1383]
[1383, 461]
[461, 1438]
[1783, 225]
[225, 1745]
[1745, 213]
[213, 1629]
[1629, 103]
[103, 1657]
[1657, 81]
[81, 684]
[684, 259]
[259, 1801]
[1801, 1142]
[1781, 223]
[223, 1741]
[1741, 215]
[215, 1631]
[1631, 101]
[101, 1659]
[1659, 83]
[83, 1603]
[1603, 259]
[259, 1801]
[1801, 1142]
[1053, 305]
[305, 1142]
[361, 1805]
[1805, 263]
[263, 1803]
[1803, 1053]
[293, 1058]
[1058, 263]
[263, 1803]
[1803, 1053]
[1775, 990]
[1777, 990]
[1516, 43]
[43, 1568]
[1568, 617]
[522, 1516]
[1566, 61]
[61, 588]
[588, 35]
[35, 1540]
[1536, 21]
[21, 559]
[559, 23]
[23, 1540]
[1546, 27]
[27, 1538]
[1538, 23]
[23, 1540]
[617, 1566]
[1514, 522]
[1785, 239]
[239, 1757]
[1757, 203]
[203, 757]
[757, 111]
[111, 663]
[663, 75]
[75, 665]
[665, 293]
[1769, 237]
[237, 938]
[938, 203]
[203, 757]
[757, 111]
[111, 663]
[663, 75]
[75, 665]
[665, 293]
[1112, 293]
[1767, 237]
[237, 938]
[938, 203]
[203, 757]
[757, 111]
[111, 663]
[663, 75]
[75, 665]
[665, 293]
[1787, 245]
[245, 1739]
[1739, 201]
[201, 1619]
[1619, 111]
[111, 663]
[663, 75]
[75, 665]
[665, 293]
[1730, 189]
[189, 886]
[886, 175]
[175, 1636]
[1636, 129]
[129, 1673]
[1673, 73]
[73, 1586]
[1586, 289]
[289, 1847]
[1847, 357]
[357, 1805]
[1805, 293]
[1765, 243]
[243, 1737]
[1737, 195]
[195, 1686]
[1686, 113]
[113, 1669]
[1669, 75]
[75, 665]
[665, 293]
[1540, 23]
[23, 1532]
[1532, 19]
[19, 1534]
[537, 1522]
[1734, 917]
[917, 1730]
[903, 1734]
[1723, 903]
[1513, 521]
[616, 1565]
[1565, 60]
[60, 587]
[587, 34]
[34, 1539]
[1533, 20]
[20, 554]
[554, 22]
[22, 1539]
[1535, 20]
[20, 554]
[554, 22]
[22, 1539]
[1545, 26]
[26, 1537]
[1537, 22]
[22, 1539]
[521, 1515]
[1515, 42]
[42, 1567]
[1567, 616]
[452, 1986]
[1986, 466]
[466, 1978]
[1978, 434]
[434, 1341]
[1341, 404]
[404, 1948]
[1948, 396]
[396, 1323]
[1323, 400]
[1217, 400]
[344, 1217]
[1992, 452]
[1465, 470]
[470, 1992]
[388, 1928]
[1928, 440]
[440, 1972]
[1972, 1465]
[1308, 388]
