[17230, 17136]
[17136, 17034]
[16840, 16942]
[16942, 17032]
[17032, 17134]
[17134, 17230]
[16750, 16840]
[16664, 16750]
[17492, 17494]
[17494, 17508]
[17548, 17514]
[17514, 17500]
[17500, 17492]
[17580, 17564]
[17564, 17542]
[17542, 17548]
[17826, 17810]
[17810, 17774]
[17774, 17706]
[17706, 17580]
[15978, 15862]
[15862, 15738]
[15738, 15740]
[15740, 15784]
[15784, 15660]
[15660, 15540]
[15540, 15654]
[15654, 15780]
[15780, 15888]
[15888, 16012]
[16012, 16134]
[16134, 16238]
[16238, 16328]
[16328, 16396]
[16396, 16436]
[16436, 16438]
[16508, 16546]
[16510, 16494]
[16494, 16508]
[3532, 3704]
[3704, 4056]
[4056, 4396]
[4396, 4750]
[16438, 16394]
[5130, 4740]
[4740, 4214]
[4214, 3862]
[3862, 3522]
[3522, 3354]
[3354, 3208]
[3208, 3532]
[7928, 7468]
[7468, 7064]
[7064, 6630]
[6630, 6432]
[6432, 5994]
[5994, 5570]
[5570, 5762]
[5762, 5998]
[5998, 5576]
[5576, 5166]
[5166, 4934]
[4934, 4778]
[4778, 4758]
[4758, 4402]
[4402, 4064]
[4064, 3714]
[3714, 3364]
[3364, 3202]
[3202, 2928]
[2928, 2932]
[2932, 3208]
[3208, 3532]
[16498, 16510]
[12392, 12390]
[16394, 16440]
[5542, 4916]
[4916, 5130]
[13084, 12558]
[12558, 12212]
[12212, 12026]
[12026, 12392]
[13222, 12728]
[12728, 12380]
[12380, 12198]
[12198, 12200]
[12200, 12022]
[12022, 11618]
[11618, 12024]
[12024, 12210]
[12210, 12392]
[11008, 10562]
[10562, 10784]
[10784, 11196]
[11196, 11216]
[11216, 11222]
[11222, 11428]
[11428, 11616]
[11616, 11618]
[11618, 12024]
[12024, 12210]
[12210, 12392]
[12390, 12742]
[14574, 14444]
[14444, 14278]
[14278, 14004]
[14004, 13668]
[13668, 13412]
[13412, 13096]
[13096, 12760]
[12760, 12410]
[12410, 12048]
[12048, 11636]
[11636, 11236]
[11236, 10830]
[10830, 10370]
[10370, 9954]
[9954, 9510]
[9510, 9502]
[9502, 9730]
[9730, 9530]
[9530, 9078]
[9078, 8614]
[8614, 8162]
[8162, 7766]
[7766, 7522]
[7522, 7110]
[7110, 7112]
[7112, 7114]
[7114, 7116]
[7116, 7512]
[7512, 7928]
[3576, 3924]
[3924, 4264]
[4264, 4602]
[4602, 4968]
[4968, 5374]
[5374, 5806]
[5806, 6232]
[6232, 6674]
[6674, 7108]
[7108, 7510]
[7510, 7928]
[10056, 10258]
[10258, 9860]
[9860, 9424]
[9424, 9204]
[9204, 8748]
[8748, 8076]
[8076, 7672]
[7672, 7252]
[7252, 6830]
[6830, 6144]
[6144, 5522]
[5522, 4904]
[4904, 4536]
[4536, 4372]
[4372, 4030]
[4030, 3676]
[3676, 3334]
[3334, 3056]
[3056, 2918]
[2918, 2920]
[2920, 2660]
[2660, 2416]
[2416, 2182]
[2182, 2066]
[2066, 2068]
[2068, 1954]
[1954, 1838]
[1838, 1840]
[1840, 1780]
[1780, 1778]
[1778, 1782]
[1782, 1668]
[1668, 1784]
[1784, 2002]
[2002, 2218]
[2218, 2220]
[2220, 2334]
[2334, 2456]
[2456, 2716]
[2716, 2982]
[2982, 3254]
[3254, 3576]
[3922, 3576]
[13072, 13222]
[14700, 14510]
[14510, 14282]
[14282, 14096]
[14096, 13890]
[13890, 13668]
[13668, 13412]
[13412, 13096]
[13096, 12760]
[12760, 12410]
[12410, 12220]
[12220, 12042]
[12042, 12038]
[12038, 11834]
[11834, 11832]
[11832, 12228]
[12228, 12242]
[12242, 12592]
[12592, 12788]
[12788, 12786]
[12742, 12558]
[12558, 12398]
[12398, 12396]
[12396, 12070]
[12070, 11858]
[11858, 11856]
[11856, 12250]
[12250, 12428]
[12428, 12792]
[12792, 12774]
[12774, 12936]
[12936, 12943]
[12943, 12596]
[12596, 12786]
[3922, 3576]
[5388, 4978]
[4978, 4606]
[4606, 4266]
[4266, 3922]
[3576, 3922]
